Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/2019,19:10:17,0.8,1.4,66357,20649,341,309,8
10/9/2019,19:10:18,0.5,1.4,9927,2039,78,23,8
10/9/2019,19:10:19,0.5,1.4,13859,4712,103,54,8
10/9/2019,19:10:20,0.6,1.4,13334,3078,94,43,8
10/9/2019,19:10:21,0.6,1.4,16512,6249,136,91,8
10/9/2019,19:10:22,0.6,1.4,30753,6748,167,100,8
10/9/2019,19:10:23,0.4,1.4,26479,9223,140,141,8
10/9/2019,19:10:24,0.1,1.4,1704,1476,24,23,8
10/9/2019,19:10:25,0.2,1.4,256,379,4,5,8
10/9/2019,19:10:26,0.1,1.4,1402,670,16,10,8
10/9/2019,19:10:27,0.2,1.4,128,626,2,6,8
10/9/2019,19:10:28,0.1,1.4,4894,914,43,11,8
10/9/2019,19:10:29,0.3,1.4,8506,2190,80,29,8
10/9/2019,19:10:30,0.1,1.4,2433,956,25,14,8
10/9/2019,19:10:31,0.2,1.4,67234,9433,139,142,8
10/9/2019,19:10:32,0.2,1.4,24278,6238,101,96,9
10/9/2019,19:10:33,0.1,1.4,4664,563,41,6,9
10/9/2019,19:10:34,0.2,1.4,2594,1408,22,22,9
10/9/2019,19:10:35,1.1,1.4,164126,52417,854,802,9
10/9/2019,19:10:36,0.1,1.4,7416,1750,66,25,9
10/9/2019,19:10:37,0.2,1.4,2232,1744,26,23,9
10/9/2019,19:10:38,0.1,1.4,128,560,2,8,9
10/9/2019,19:10:39,0.2,1.4,384,1725,6,16,9
10/9/2019,19:10:40,0.1,1.4,776,896,12,14,9
10/9/2019,19:10:41,0.1,1.4,128,315,2,4,9
10/9/2019,19:10:42,0.2,1.4,7561,2197,69,28,9
10/9/2019,19:10:43,0.1,1.4,128,315,2,4,9
10/9/2019,19:10:44,0.3,1.4,1120,2874,15,23,9
10/9/2019,19:10:45,0.1,1.4,6296,1519,60,20,9
10/9/2019,19:10:46,0.4,1.4,10240,2191,89,30,9
10/9/2019,19:10:47,0.1,1.4,9008,1644,83,21,9
10/9/2019,19:10:48,0.2,1.4,8479,1321,75,15,9
10/9/2019,19:10:49,0.2,1.4,74600,9675,209,139,9
10/9/2019,19:10:51,0.1,1.4,13363,2093,121,31,9
10/9/2019,19:10:52,1.2,1.4,145811,49928,815,749,10
10/9/2019,19:10:53,0.2,1.4,19117,6545,157,96,10
10/9/2019,19:10:54,0.1,1.4,731,1079,11,14,10
10/9/2019,19:10:55,0.7,1.4,38993,13099,233,200,10
10/9/2019,19:10:56,0.2,1.4,6869,5329,84,81,10
10/9/2019,19:10:57,0.1,1.4,256,443,4,6,10
10/9/2019,19:10:58,0.2,1.4,128,192,2,3,10
10/9/2019,19:10:59,0.2,1.4,9011,2041,83,26,10
10/9/2019,19:11:00,0.3,1.4,9755,3461,89,36,10
10/9/2019,19:11:01,0.2,1.4,8278,1805,79,24,10
10/9/2019,19:11:02,0.3,1.4,3143,1224,15,16,10
10/9/2019,19:11:03,0.2,1.4,1599,707,9,10,10
10/9/2019,19:11:04,0.1,1.4,995,1521,15,18,10
10/9/2019,19:11:05,0.2,1.4,2454,759,24,10,10
10/9/2019,19:11:06,0.4,1.4,10885,2723,103,35,10
10/9/2019,19:11:07,0.2,1.4,4396,725,40,9,10
10/9/2019,19:11:08,0.1,1.4,128,128,2,2,10
10/9/2019,19:11:09,0.2,1.4,731,827,11,12,10
10/9/2019,19:11:10,0.2,1.4,11012,4218,115,62,10
10/9/2019,19:11:11,0.2,1.4,10236,4439,113,65,10
10/9/2019,19:11:12,0.2,1.4,9536,4174,102,62,10
10/9/2019,19:11:13,0.1,1.4,4910,1019,35,12,10
10/9/2019,19:11:14,0.1,1.4,6632,984,48,12,10
10/9/2019,19:11:15,0.2,1.4,7363,3409,59,28,10
10/9/2019,19:11:16,0.1,1.4,10322,2218,84,28,10
